x_in,y_in,w_in,x_out,y_out,w_out
880.33,-770.74,953.19,361.96,438.9,303.34
890.88,-768.16,951.26,319.37,432.09,283.29
898.06,-782.22,947.11,338.74,442.72,309.23
900.53,-795.76,941.92,364.75,441.57,292.56
911.37,-782.62,948.97,393.12,427.03,298.38
913.11,-798.6,953.47,309.82,442.8,229.75
361.06,-379.46,-182.13,142.85,237.25,-254.55
362.76,-376.88,-178.33,119.75,243.86,-236.06
359.55,-375.7,-178.32,134.86,238.2,-243.38
363.84,-376.71,-178.22,124.38,240.26,-241.57
360.44,-375.52,-179.6,134.38,237.02,-247.51
357.8,-382.07,-179.04,134.29,246.75,-245.5
456.88,-446.06,2.2181,121.18,283.69,-262.38
462.05,-444.81,-2.3323,134.6,277.36,-274.22
453.68,-448.47,7.7243,107.62,269.96,-250.41
460.02,-445.59,2.7739,117.9,276.54,-262.05
470.92,-458.87,-5.3146,117.3,282.39,-263.39
462.82,-457.12,-1.6831,119.92,279.15,-270.96
692.34,-607.72,370.58,174.71,337.92,-322.19
699.35,-603.36,375.04,156.46,338.47,-340.94
704.35,-611.09,374.38,139.4,350.76,-331.77
696.67,-610.71,370.89,137.18,346.85,-311.95
700.82,-608.19,377.88,141.45,347.82,-332.54
700.82,-608.54,375.5,137.69,355.16,-331.17
1387,-1158.7,535.69,659.44,634.25,-272.68
1621.3,-1357.1,534.59,731.17,650.67,-241.79
1365.6,-1130.2,554.49,727.51,638.25,-275.69
1272.8,-1241.8,577.77,757.14,614.93,-286.09
1245,-1155.5,509.54,671.63,661.42,-293.91
1626.3,-1361.3,549.82,658.53,630.91,-306.14
709.98,-659.93,-385.67,369.15,414.12,-489.5
701.87,-658.49,-389.45,347.29,404.59,-470.5
713.72,-658.67,-392.22,333,407.76,-469.52
709.05,-651.25,-385.33,340.71,401.49,-477.02
714.54,-662.9,-387.88,329.05,412.3,-463.1
714.08,-660.08,-388.75,323.89,424.53,-471.32
989.67,-866.72,-16.598,391.14,522.63,-599.52
988.77,-862.66,-27.405,392.73,507.82,-610.47
1005.4,-873.52,-27.057,402.91,509.88,-614.37
990.22,-851.38,-16.702,416.65,491.64,-606.56
977.09,-847.5,-18.094,403.35,491.75,-605.41
974.65,-843.41,-29.854,396.21,490.52,-611.14
1609.7,-1390.2,16.727,850.54,772.51,-1003.8
1804.3,-1555.1,92.087,782.4,744.25,-833.85
1586.2,-1349.9,79.415,777.49,780.07,-857.83
1581.7,-1354.8,27.004,801.96,773.52,-986.65
1555.7,-1300.5,96.276,801.72,722.69,-814.48
1511.8,-1432.5,117.24,787.71,757.27,-891.47
155.16,-284.87,764.81,-96.441,142.44,420.49
154.35,-288.43,764.59,-71.595,148.65,446.41
152.82,-288.65,759.23,-84.112,146.41,420.34
158.06,-293.44,769.49,-78.994,157.09,437.72
154.17,-292.46,764.4,-90.741,146.51,425.85
152.94,-288.22,749.73,-73.845,149.98,425.62
301.62,-428.47,158.4,-2.2828,252.32,-119.66
296.79,-419.27,157.18,8.2477,235.64,-137.97
300.79,-418.44,160.37,4.8419,233.23,-133.67
298.53,-417.96,163.02,14.813,235.94,-136.65
299.33,-422.1,160.04,25.594,232.94,-140.64
298.95,-424.36,159.96,21.322,241.09,-141.89
777.67,-942.84,927.28,368.6,517.85,323.22
775.06,-939.02,932.33,363.64,503.94,343.73
767.84,-942.14,923.47,368.53,512.08,330.76
756.94,-908.96,929.8,247.45,476.31,296.65
770.46,-937.87,924.29,266.92,473.01,250.83
778.99,-941.81,925.92,280.05,503.57,298.97
284.34,-413.92,-145.74,66.153,239.79,-188.05
281.57,-410.76,-154.15,63.483,244.27,-183.36
282.46,-412.87,-151.77,66.588,249.94,-180.52
277,-407.94,-150.8,72.414,249.54,-176.85
284.19,-415.51,-147.32,64.187,256.75,-181.55
284.77,-418.6,-155.5,67.146,262.36,-184.05
358.84,-492.48,10.611,68.878,275.76,-206.44
358.76,-487.93,11.811,63.536,267.46,-202.71
362.03,-495.55,7.4921,59.647,287.68,-208.89
368.33,-501.36,9.1556,65.52,281.18,-206.18
370.76,-506.43,5.1835,84.514,273.89,-214.91
372.7,-506.72,8.789,81.711,272.6,-205.86
612.04,-752.54,394.98,121.22,394.75,-249.28
610.96,-757.08,393.49,84.045,392.3,-259.68
598.58,-737.29,395.75,109.56,384.76,-269.83
607.34,-750.29,398.46,82.136,374.89,-272.6
609.09,-744,402.4,114.33,368.92,-260.9
611.86,-745.42,390.92,132.97,380.05,-255.38
1144.1,-1356.7,541.69,434.75,706.41,-307.5
1181.7,-1367.6,518.22,467.3,722.87,-338.48
1140,-1369,527.87,500.99,740.59,-342.28
1154.5,-1347.5,528.68,518.3,767.64,-259.09
1127.2,-1338.8,527.21,525.44,760.83,-251.91
1143.8,-1344.1,550.72,542.47,768.94,-253.45
594.32,-788.38,-377.46,295.23,442.75,-422.36
597.28,-766.31,-386.5,290.97,433.82,-433.96
593.01,-767.34,-384.81,291.47,439.09,-434.82
590.2,-766.83,-379.84,321.04,414.67,-440.58
596.35,-786.68,-377.91,320.56,427.97,-438.3
604.35,-771.63,-377.52,318.59,429.58,-443.52
843.97,-1040.4,-3.9458,332.76,553.22,-522.41
850.64,-1055,-3.1022,342.29,546.1,-533.18
838.51,-1033.4,-8.0255,336.99,526.8,-519.8
844.22,-1031.6,-8.6031,308.51,510.08,-520.57
851.64,-1053,-4.2799,349.31,565.13,-545.7
840.62,-1032,-3.3883,349.82,548.39,-545.09
1327.8,-1583,92.469,560.05,880.06,-823.21
1299.2,-1566.9,108.65,604.21,828.2,-841.5
1310,-1584.3,93.28,594.22,898.9,-862.08
1313.1,-1579.2,79.497,577.91,872.2,-819.39
1312.1,-1553.8,114.64,572.53,824.49,-835.65
1323.4,-1581.3,84.45,592.29,883.17,-851.72
112.7,-300.92,747.88,-75.815,155.17,413.58
112.2,-302.47,737.45,-67.581,154.21,404.13
113.42,-301.13,733.33,-114.43,150.89,395.64
110.11,-300,735.57,-95.926,159.34,404.85
110.57,-293.91,736.05,-107.98,137.76,433.36
112.47,-297.29,764.72,-112.35,143.29,410.98
229.04,-463.99,160.47,-58.079,235.97,-80.185
240.71,-474.78,171.31,-58.978,233.37,-73.01
234.32,-472.47,164.37,-61.327,247.26,-75.734
228.02,-466.95,160.95,-52.587,233.29,-78.15
227.85,-464.2,165.38,-57.219,234.75,-78.128
224.84,-465.21,156.5,-51.708,239.52,-86.387
572.85,-1041.3,908.66,47.571,513.48,196.93
585.71,-1058.6,926.3,75.542,563.33,237.23
600.52,-1073.1,922.7,79.392,585.91,245.91
573.59,-1066.7,928.93,109.51,580.33,262.26
570.64,-1060.3,927.26,126.95,588.86,256.5
573.56,-1036.6,917.45,51.236,522.74,179.11
215.61,-451.62,-150.58,28.039,236.42,-136.92
214.2,-451.27,-146.17,39.039,239.01,-143.65
214.92,-454.76,-147.22,26.678,232.05,-144.08
216.01,-458.32,-150.04,54.73,241.53,-154.35
219.05,-454.26,-150.09,43.381,249.38,-138.71
224.13,-460.08,-154.92,50.573,252.8,-149.63
294.12,-574.56,6.5651,54.3,279.92,-162.8
288.07,-574.55,6.6707,42.058,285.05,-166.3
292.12,-576.99,12.679,52.584,289.96,-167.13
290.11,-563.21,10.812,48.545,281.47,-172.82
294.05,-573.63,11.959,37.442,289.69,-157.97
292.87,-574.79,10.836,41.534,282.94,-166.59
469.17,-857.69,404.55,-16.508,413.31,-199.54
470.96,-868.04,399.09,11.953,430.42,-210.37
472.61,-862.39,399.99,23.305,388.94,-220.64
461.09,-871.12,400.25,25.951,429.34,-221.84
466.3,-878.96,395.69,-3.9702,415.97,-204.92
460.65,-866.39,402.44,-3.7982,413.61,-195.04
894.08,-1570.3,554.43,226.15,786.71,-523.84
883.19,-1521.8,545.59,209.98,764.62,-477.29
894.72,-1556.9,539.26,206.61,818.25,-486.41
864.61,-1528.9,548.46,135.18,788.94,-485.95
876.27,-1527.3,539.49,183.54,808.24,-433.97
895.17,-1544.4,549.14,166.76,807.21,-507.77
451.89,-874.59,-375.15,188.44,428.22,-336.79
445.16,-891.86,-380.46,224.2,461.59,-353.32
446.69,-886,-379.05,211.18,463.65,-347.85
464.66,-882.6,-378.49,190.03,477.01,-328.24
443.1,-901.14,-376.27,242.34,458.17,-374.15
459.14,-883.18,-376.43,197.1,476.85,-334.51
659.44,-1193.4,11.505,260.91,629.93,-412.36
660.94,-1207,2.6218,250.35,651.04,-422.28
